manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
Gibraltar,Medium,30.272702719750782,30.272702719750782,52,5.3860172867626405e-5
Greece,Low,51.69946052072153,51.69946052072153,48,9.198193853343571e-5
Hong Kong,Low,3643.9326237712276,4281.192913642035,15,0.007616954209310699
Hong Kong,Medium,637.2602898708069,4281.192913642035,15,0.007616954209310699
India,Low,421.0686107048477,515.5277047493835,30,9.172095254559765e-4
India,Medium,94.45909404453585,515.5277047493835,30,9.172095254559765e-4
Indonesia,Medium,104.64954608935342,104.64954608935342,41,1.8618894702169538e-4
Ireland,Low,26.65290422043875,26.65290422043875,53,4.741994931957428e-5
Israel,Low,1352.8789365299215,1380.6304286106276,21,0.002456371148610999
Israel,High,27.75149208070609,1380.6304286106276,21,0.002456371148610999
Italy,Low,1168.3279021961957,3657.0064180980357,16,0.006506422623714814
Italy,Medium,2228.2659040332655,3657.0064180980357,16,0.006506422623714814
Italy,High,260.4126118685745,3657.0064180980357,16,0.006506422623714814
Ivory Coast,Low,248.8174981451342,248.8174981451342,35,4.426877106629734e-4
Japan,Low,31382.278552249747,45652.56626106909,5,0.08122350797134881
Japan,Medium,12011.77831734911,45652.56626106909,5,0.08122350797134881
Japan,High,2258.5093914702306,45652.56626106909,5,0.08122350797134881
Jordan,Low,103.0083081678867,213.44799230345512,37,3.7975947737931367e-4
Jordan,Medium,110.43968413556844,213.44799230345512,37,3.7975947737931367e-4
Korea; Republic (S. Korea),Low,111.26953565050044,220.49252140848037,36,3.922928662504745e-4
Korea; Republic (S. Korea),Medium,109.22298575797993,220.49252140848037,36,3.922928662504745e-4
Kuwait,Low,93.64086242587472,213.38746454344374,38,3.796517884277297e-4
Kuwait,High,119.74660211756901,213.38746454344374,38,3.796517884277297e-4
Libya,Low,265.54153321800095,265.54153321800095,34,4.724425504738624e-4
Luxembourg,Low,502.60593520203633,502.60593520203633,31,8.942195483793119e-4
Malaysia,Low,131.15229632501777,311.8611548050525,32,5.548528608097799e-4
Malaysia,Medium,180.70885848003468,311.8611548050525,32,5.548528608097799e-4
