,GID,exporter_group,Adjusted_deforestation_exposure,Producer country,Year,Commodity
92,BOL.8.3_2,INDUSTRIAS OLEAGINOSAS S.A.,252.14740939712073,Bolivia,2020,Soya beans
93,BOL.8.3_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,3.493546143471864,Bolivia,2020,Soya beans
94,BOL.8.3_2,PROCESSED DOMESTICALLY,2199.895089403368,Bolivia,2020,Soya beans
95,BOL.8.3_2,SOCIEDAD AGROINDUSTRIAL NUTRIOIL SA,1100.7809531716111,Bolivia,2020,Soya beans
96,BOL.8.3_2,UNKNOWN,300.7482417158917,Bolivia,2020,Soya beans
97,BOL.8.4_2,UNKNOWN,663.9689192296638,Bolivia,2020,Soya beans
98,BOL.8.7_2,AGROINDUSTRIA CAICO SA,170.1803975083948,Bolivia,2020,Soya beans
99,BOL.8.7_2,AGROINDUSTRIAS VARGAS GOMEZ GARCIA SRL,0.7633021274550278,Bolivia,2020,Soya beans
100,BOL.8.7_2,AGROTRAM SRL,16.224019538276693,Bolivia,2020,Soya beans
101,BOL.8.7_2,CALIDAD FREJOLERA BOLIVIANA IMPORT EXPORT SRL,0.9266222356279392,Bolivia,2020,Soya beans
102,BOL.8.7_2,INDUSTRIAS DE ACEITE S.A.,237.151840751454,Bolivia,2020,Soya beans
103,BOL.8.7_2,INDUSTRIAS OLEAGINOSAS S.A.,725.1957631079775,Bolivia,2020,Soya beans
104,BOL.8.7_2,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,133.68764855502602,Bolivia,2020,Soya beans
105,BOL.8.7_2,PROCESSED DOMESTICALLY,252.4004682522105,Bolivia,2020,Soya beans
106,BOL.8.7_2,UNKNOWN,816.3838992202601,Bolivia,2020,Soya beans
107,BOL.8.8_2,EMPRESA DE TRANSFORMACION AGROINDUSTRIAL SA - ETASA,4.58751357273427,Bolivia,2020,Soya beans
108,BOL.8.8_2,INDUSTRIAS DE ACEITE S.A.,475.83156006716223,Bolivia,2020,Soya beans
109,BOL.8.8_2,PROCESSED DOMESTICALLY,41.011906603249074,Bolivia,2020,Soya beans
110,BOL.8.8_2,UNKNOWN,1.2938370761519955,Bolivia,2020,Soya beans
111,BOL.1.4_2,UNKNOWN,1.8850974731445311,Bolivia,2021,Soya beans
112,BOL.2.7_2,UNKNOWN,14.845589927162145,Bolivia,2021,Soya beans
113,BOL.2.9_2,UNKNOWN,0.3687836025463317,Bolivia,2021,Soya beans
114,BOL.3.1_2,UNKNOWN,462.30474946459435,Bolivia,2021,Soya beans
115,BOL.3.2_2,UNKNOWN,5.0453845365824534,Bolivia,2021,Soya beans
116,BOL.3.3_2,UNKNOWN,8.674391861790273,Bolivia,2021,Soya beans
117,BOL.3.5_2,UNKNOWN,417.7467456586332,Bolivia,2021,Soya beans
118,BOL.4.11_2,UNKNOWN,0.006392313840154001,Bolivia,2021,Soya beans
119,BOL.4.21_2,UNKNOWN,0.0875878874493877,Bolivia,2021,Soya beans
120,BOL.4.2_2,UNKNOWN,3.5623970210257543,Bolivia,2021,Soya beans
121,BOL.4.6_2,UNKNOWN,0.1466867013762877,Bolivia,2021,Soya beans
