Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2017","2017","1000 USD","298718","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2018","2018","1000 USD","394447","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2019","2019","1000 USD","308914","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2020","2020","1000 USD","298694","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2021","2021","1000 USD","391132","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2022","2022","1000 USD","308325","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0112","Maize (corn)","2023","2023","1000 USD","393362","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","1000 USD","650862","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2015","2015","1000 USD","710755","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","1000 USD","705924","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","1000 USD","723560","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","1000 USD","747587","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2008","2008","1000 USD","714824","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2009","2009","1000 USD","580718","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2010","2010","1000 USD","581641","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2011","2011","1000 USD","589804","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2012","2012","1000 USD","611098","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2013","2013","1000 USD","618527","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","1000 USD","645753","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2015","2015","1000 USD","698497","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","1000 USD","724367","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","1000 USD","747363","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","1000 USD","770358","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","1000 USD","766044","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","1000 USD","794643","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","1000 USD","816911","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","1000 USD","858219","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","1000 USD","938791","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2008","2008","1000 USD","417617","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2009","2009","1000 USD","705753","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2010","2010","1000 USD","486194","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2011","2011","1000 USD","562127","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2012","2012","1000 USD","837454","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2013","2013","1000 USD","906671","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2014","2014","1000 USD","1020169","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2015","2015","1000 USD","910116","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2016","2016","1000 USD","859198","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2017","2017","1000 USD","759930","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","57","Gross Production Value (current thousand US$)","0141","Soya beans","2018","2018","1000 USD","949414","A","Official figure"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2008","2008","1000 USD","387847","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2009","2009","1000 USD","582726","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2010","2010","1000 USD","521279","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2011","2011","1000 USD","573002","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2012","2012","1000 USD","819586","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2013","2013","1000 USD","870332","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2014","2014","1000 USD","866512","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2015","2015","1000 USD","956299","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2016","2016","1000 USD","986490","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2017","2017","1000 USD","822399","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2018","2018","1000 USD","905864","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2019","2019","1000 USD","920863","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2020","2020","1000 USD","871142","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2021","2021","1000 USD","1021644","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","0141","Soya beans","2022","2022","1000 USD","1064434","E","Estimated value"
