commodity,producer_country,manager_country_grouped,financial_flow_link_strength,total_usd_m_normalised_to_sei_trase_by_strength,total_usd_m_normalised_to_sei_trase,rank,manager_country_grouped_link_strength_pct
Cocoa beans,Ecuador,Unknown,Medium,4767.363817340811,6452.361949850997,4,0.7388556089062708
Cocoa beans,Peru,Australia,Medium,56.65105425344905,56.65105425344905,7,1
Cocoa beans,Peru,Brazil,Medium,43.92317682662348,43.92317682662348,9,1
Cocoa beans,Peru,China,Medium,53.90766694344898,53.90766694344898,8,1
Cocoa beans,Peru,EU27,Medium,861.8093869462078,861.8093869462078,1,1
Cocoa beans,Peru,Japan,Medium,60.79587203849533,60.79587203849533,6,1
Cocoa beans,Peru,Other countries,Medium,63.18493886337592,NA,NA,NA
Cocoa beans,Peru,Singapore,Medium,161.4654647719487,161.4654647719487,3,1
Cocoa beans,Peru,Switzerland,Medium,121.43754318525798,121.43754318525798,5,1
Cocoa beans,Peru,Taiwan,Medium,34.18464990756077,34.18464990756077,10,1
Cocoa beans,Peru,United Kingdom,Medium,171.50826424011893,171.50826424011893,2,1
Cocoa beans,Peru,United States of America,Medium,125.33479299647821,125.33479299647821,4,1
"Coffee, green",Colombia,Australia,High,31.591390783371168,191.50975712388515,10,0.16495969321779835
"Coffee, green",Colombia,Australia,Low,80.01034841513157,191.50975712388515,10,0.4177873212139992
"Coffee, green",Colombia,Australia,Medium,79.90801792538244,191.50975712388515,10,0.4172529855682026
"Coffee, green",Colombia,Brazil,High,2.7121062703671313,316.3861199392049,7,0.008572140493673603
"Coffee, green",Colombia,Brazil,Low,48.586577409616204,316.3861199392049,7,0.15356734808389302
"Coffee, green",Colombia,Brazil,Medium,265.08743625922153,316.3861199392049,7,0.8378605114224333
"Coffee, green",Colombia,China,High,77.84802821712829,214.86506438986362,9,0.36231124142115684
"Coffee, green",Colombia,China,Low,79.07895987373342,214.86506438986362,9,0.3680401004150585
"Coffee, green",Colombia,China,Medium,57.93807629900182,214.86506438986362,9,0.26964865816378425
"Coffee, green",Colombia,EU27,High,567.8361499873562,2153.504276088199,1,0.26368006615655304
"Coffee, green",Colombia,EU27,Low,1140.7077604471854,2153.504276088199,1,0.5296983958254591
"Coffee, green",Colombia,EU27,Medium,444.9603656536559,2153.504276088199,1,0.20662153801798727
"Coffee, green",Colombia,Japan,High,125.31070016245228,416.91393577010325,6,0.3005673099676661
"Coffee, green",Colombia,Japan,Low,188.37998230296682,416.91393577010325,6,0.4518438126924216
"Coffee, green",Colombia,Japan,Medium,103.22325330468418,416.91393577010325,6,0.24758887733991233
"Coffee, green",Colombia,Other countries,High,90.39514583963994,NA,NA,NA
"Coffee, green",Colombia,Other countries,Low,322.4214604520505,NA,NA,NA
"Coffee, green",Colombia,Other countries,Medium,81.90720608885869,NA,NA,NA
"Coffee, green",Colombia,Singapore,High,24.176373218929072,1607.1130011223815,2,0.015043356131177264
"Coffee, green",Colombia,Singapore,Low,1503.4353330127126,1607.1130011223815,2,0.935488252514128
"Coffee, green",Colombia,Singapore,Medium,79.50129489074025,1607.1130011223815,2,0.04946839135469494
"Coffee, green",Colombia,Switzerland,High,34.42350614225893,247.277342001262,8,0.13921011065414657
"Coffee, green",Colombia,Switzerland,Low,161.04523696700454,247.277342001262,8,0.6512737303937157
"Coffee, green",Colombia,Switzerland,Medium,51.808598891998564,247.277342001262,8,0.20951615895213785
"Coffee, green",Colombia,United Kingdom,High,95.65958313383179,1209.4655122754355,3,0.07909244386296062
"Coffee, green",Colombia,United Kingdom,Low,956.4905237279305,1209.4655122754355,3,0.790837369085813
"Coffee, green",Colombia,United Kingdom,Medium,157.315405413673,1209.4655122754355,3,0.1300701870512262
"Coffee, green",Colombia,United States of America,High,195.20568604809813,1127.7497249397638,4,0.17309309125171773
"Coffee, green",Colombia,United States of America,Low,741.3989492662841,1127.7497249397638,4,0.6574144359076517
"Coffee, green",Colombia,United States of America,Medium,191.14508962538187,1127.7497249397638,4,0.16949247284063088
"Coffee, green",Colombia,Unknown,High,101.08270983307337,700.5570178490967,5,0.1442890546488638
"Coffee, green",Colombia,Unknown,Low,591.7639048827418,700.5570178490967,5,0.844704841726688
"Coffee, green",Colombia,Unknown,Medium,7.710403133281379,700.5570178490967,5,0.011006103624447934
"Coffee, green",Peru,Australia,High,12.081741286170168,879.1192241318962,6,0.013743006584915174
"Coffee, green",Peru,Australia,Low,134.5494428190095,879.1192241318962,6,0.15305027933142176
"Coffee, green",Peru,Australia,Medium,732.4880400267177,879.1192241318962,6,0.8332067140836644
"Coffee, green",Peru,Canada,High,20.022804208619362,124.5787759512081,10,0.16072404031695892
"Coffee, green",Peru,Canada,Low,4.957622504437538,124.5787759512081,10,0.03979508119729171
"Coffee, green",Peru,Canada,Medium,99.598349238151215,124.5787759512081,10,0.7994808784857494
"Coffee, green",Peru,China,High,31.071047665737247,140.10093634605465,9,0.2217761599322261
"Coffee, green",Peru,China,Low,53.56656592771733,140.10093634605465,9,0.38234266896979097
"Coffee, green",Peru,China,Medium,55.46332275260005,140.10093634605465,9,0.3958811710979827
"Coffee, green",Peru,EU27,High,235.62188585620564,1880.4544272274197,2,0.12530050313615487
"Coffee, green",Peru,EU27,Low,544.6850152562608,1880.4544272274197,2,0.28965605726449617
"Coffee, green",Peru,EU27,Medium,1100.147526114955,1880.4544272274197,2,0.5850434395993499
"Coffee, green",Peru,Japan,High,40.96856585227237,947.8620528728284,5,0.043222076174589716
"Coffee, green",Peru,Japan,Low,283.83452596047266,947.8620528728284,5,0.2994470820940796
"Coffee, green",Peru,Japan,Medium,623.0589610600841,947.8620528728284,5,0.6573308417313315
"Coffee, green",Peru,Other countries,High,17.54643100610807,NA,NA,NA
"Coffee, green",Peru,Other countries,Low,147.95165191183875,NA,NA,NA
"Coffee, green",Peru,Other countries,Medium,205.34266659947608,NA,NA,NA
"Coffee, green",Peru,Singapore,High,9.984504605022826,1300.5896272433627,3,0.007676906224590821
"Coffee, green",Peru,Singapore,Low,839.9218954001224,1300.5896272433627,3,0.6458008566317426
"Coffee, green",Peru,Singapore,Medium,450.6832272382178,1300.5896272433627,3,0.34652223714366687
"Coffee, green",Peru,Switzerland,High,14.985063395619843,299.47065764362253,8,0.05003850298232703
"Coffee, green",Peru,Switzerland,Low,88.80668326987364,299.47065764362253,8,0.29654552458877553
"Coffee, green",Peru,Switzerland,Medium,195.678910978129,299.47065764362253,8,0.6534159724288974
"Coffee, green",Peru,United Kingdom,High,23.474462339646546,2110.5851861185793,1,0.011122252962846142
"Coffee, green",Peru,United Kingdom,Low,611.2071276151838,2110.5851861185793,1,0.289591309384299
"Coffee, green",Peru,United Kingdom,Medium,1475.9035961637508,2110.5851861185793,1,0.6992864376528557
"Coffee, green",Peru,United States of America,High,75.46613937879539,1176.3122826507329,4,0.06415485113250541
"Coffee, green",Peru,United States of America,Low,413.74988240625123,1176.3122826507329,4,0.351734729381467
"Coffee, green",Peru,United States of America,Medium,687.0962608656869,1176.3122826507329,4,0.5841104194860282
"Coffee, green",Peru,Unknown,High,50.16787602562045,618.7504899633781,7,0.08107933139348258
"Coffee, green",Peru,Unknown,Low,454.0922666720302,618.7504899633781,7,0.7338859104562592
"Coffee, green",Peru,Unknown,Medium,114.4903472657271,618.7504899633781,7,0.18503475815025766
Oil palm fruit,Brazil,Australia,Medium,33.17966778805719,33.17966778805719,9,1
Oil palm fruit,Brazil,Brazil,Low,741.564013897903,895.7972483853936,4,0.8278257331494552
Oil palm fruit,Brazil,Brazil,Medium,154.2332344874907,895.7972483853936,4,0.17217426685054502
Oil palm fruit,Brazil,Canada,Low,20.47443098072268,772.6272674456042,5,0.026499752006441005
Oil palm fruit,Brazil,Canada,Medium,752.1528364648814,772.6272674456042,5,0.9735002479935588
Oil palm fruit,Brazil,China,Medium,217.84955433197905,217.84955433197905,8,1
Oil palm fruit,Brazil,EU27,Low,547.1565873750935,2087.0767652424815,1,0.2621640930929168
Oil palm fruit,Brazil,EU27,Medium,1539.9201778673878,2087.0767652424815,1,0.7378359069070831
Oil palm fruit,Brazil,Japan,Low,340.7302782009703,919.3150928841592,3,0.37063492249648616
Oil palm fruit,Brazil,Japan,Medium,578.5848146831889,919.3150928841592,3,0.6293650775035139
Oil palm fruit,Brazil,Korea; Republic (S. Korea),Medium,603.8699537426407,603.8699537426407,7,1
Oil palm fruit,Brazil,United Kingdom,Low,163.6697325732872,636.7481882257848,6,0.25703996587619893
Oil palm fruit,Brazil,United Kingdom,Medium,473.0784556524976,636.7481882257848,6,0.7429600341238011
Oil palm fruit,Brazil,United States of America,Low,473.1541618525649,1040.601629502065,2,0.4546928896113419
Oil palm fruit,Brazil,United States of America,Medium,567.4474676495001,1040.601629502065,2,0.5453071103886582
Soya beans,Bolivia,Canada,Medium,19.022732679649778,19.022732679649778,5,1
Soya beans,Bolivia,China,Medium,1.7194801885819107,1.7194801885819107,6,1
Soya beans,Bolivia,EU27,Medium,117.21991123829213,117.21991123829213,2,1
Soya beans,Bolivia,Japan,Medium,26.24370576925595,26.24370576925595,4,1
Soya beans,Bolivia,United Kingdom,Medium,44.87939678697633,44.87939678697633,3,1
Soya beans,Bolivia,United States of America,Medium,180.04100112460182,180.04100112460182,1,1
Soya beans,Brazil,Australia,High,31.74803727830849,2608.5779378802827,8,0.012170630141918161
Soya beans,Brazil,Australia,Low,1755.485931562033,2608.5779378802827,8,0.6729666405859939
Soya beans,Brazil,Australia,Medium,821.3439690399448,2608.5779378802827,8,0.31486272927208947
Soya beans,Brazil,Canada,High,121.91147104904707,3273.182340512217,6,0.03724554832773822
Soya beans,Brazil,Canada,Low,2183.4671308834004,3273.182340512217,6,0.6670777560597837
Soya beans,Brazil,Canada,Medium,967.8037385797709,3273.182340512217,6,0.29567669561247856
Soya beans,Brazil,China,High,99.76701898263474,5387.218981857823,5,0.018519206165298546
Soya beans,Brazil,China,Low,3953.7319427864386,5387.218981857823,5,0.7339096398533561
Soya beans,Brazil,China,Medium,1333.7200200887405,5387.218981857823,5,0.2475711539813437
Soya beans,Brazil,EU27,High,969.4688998668198,18394.78553247816,3,0.05270346306322019
Soya beans,Brazil,EU27,Low,10673.381154525034,18394.78553247816,3,0.5802394997038657
Soya beans,Brazil,EU27,Medium,6751.935478086336,18394.78553247816,3,0.3670570372329158
