manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Europe,Loan deals,Medium,213533.07752607408,"Europe 
(US$662,691m)","Loan deals 
(US$1,272,575m)"
Latin America and the Caribbean,Bond deals,High,17664.98500457929,"Latin America and the Caribbean 
(US$58,967m)","Bond deals 
(US$511,937m)"
Latin America and the Caribbean,Bond deals,Low,8804.355492222305,"Latin America and the Caribbean 
(US$58,967m)","Bond deals 
(US$511,937m)"
Latin America and the Caribbean,Bond deals,Medium,8255.211907610412,"Latin America and the Caribbean 
(US$58,967m)","Bond deals 
(US$511,937m)"
Latin America and the Caribbean,Equity deals,High,11421.682563198829,"Latin America and the Caribbean 
(US$58,967m)","Equity deals 
(US$81,197m)"
Latin America and the Caribbean,Equity deals,Low,160.99248256239918,"Latin America and the Caribbean 
(US$58,967m)","Equity deals 
(US$81,197m)"
Latin America and the Caribbean,Equity deals,Medium,718.2617730343532,"Latin America and the Caribbean 
(US$58,967m)","Equity deals 
(US$81,197m)"
Latin America and the Caribbean,Loan deals,High,2616.3564454972725,"Latin America and the Caribbean 
(US$58,967m)","Loan deals 
(US$1,272,575m)"
Latin America and the Caribbean,Loan deals,Low,5439.771145285147,"Latin America and the Caribbean 
(US$58,967m)","Loan deals 
(US$1,272,575m)"
Latin America and the Caribbean,Loan deals,Medium,3885.721243638341,"Latin America and the Caribbean 
(US$58,967m)","Loan deals 
(US$1,272,575m)"
Northern America,Bond deals,High,6377.982821681253,"Northern America 
(US$466,090m)","Bond deals 
(US$511,937m)"
Northern America,Bond deals,Low,85901.7500077345,"Northern America 
(US$466,090m)","Bond deals 
(US$511,937m)"
Northern America,Bond deals,Medium,56183.65332160603,"Northern America 
(US$466,090m)","Bond deals 
(US$511,937m)"
Northern America,Equity deals,High,4053.7408161936287,"Northern America 
(US$466,090m)","Equity deals 
(US$81,197m)"
Northern America,Equity deals,Low,18026.2516618088,"Northern America 
(US$466,090m)","Equity deals 
(US$81,197m)"
Northern America,Equity deals,Medium,6276.029040322605,"Northern America 
(US$466,090m)","Equity deals 
(US$81,197m)"
Northern America,Loan deals,High,5429.516661356388,"Northern America 
(US$466,090m)","Loan deals 
(US$1,272,575m)"
Northern America,Loan deals,Low,110174.16834079435,"Northern America 
(US$466,090m)","Loan deals 
(US$1,272,575m)"
Northern America,Loan deals,Medium,173666.54652540587,"Northern America 
(US$466,090m)","Loan deals 
(US$1,272,575m)"
Oceania,Bond deals,Low,2943.21829120362,"Oceania 
(US$44,328m)","Bond deals 
(US$511,937m)"
Oceania,Bond deals,Medium,1119.445038545444,"Oceania 
(US$44,328m)","Bond deals 
(US$511,937m)"
Oceania,Equity deals,Medium,130.7849228234297,"Oceania 
(US$44,328m)","Equity deals 
(US$81,197m)"
Oceania,Loan deals,High,396.55120323846404,"Oceania 
(US$44,328m)","Loan deals 
(US$1,272,575m)"
Oceania,Loan deals,Low,22301.956588567908,"Oceania 
(US$44,328m)","Loan deals 
(US$1,272,575m)"
Oceania,Loan deals,Medium,17435.993459605754,"Oceania 
(US$44,328m)","Loan deals 
(US$1,272,575m)"
NA,Bond deals,High,503.5006760511276,"NA 
(US$60,450m)","Bond deals 
(US$511,937m)"
NA,Bond deals,Low,282.0780201848935,"NA 
(US$60,450m)","Bond deals 
(US$511,937m)"
NA,Bond deals,Medium,1654.0714915322053,"NA 
(US$60,450m)","Bond deals 
(US$511,937m)"
NA,Equity deals,High,1264.119199868662,"NA 
(US$60,450m)","Equity deals 
(US$81,197m)"
NA,Equity deals,Low,3.6615767302688886,"NA 
(US$60,450m)","Equity deals 
(US$81,197m)"
NA,Equity deals,Medium,62.77920906388645,"NA 
(US$60,450m)","Equity deals 
(US$81,197m)"
NA,Loan deals,High,14.5669455196238,"NA 
(US$60,450m)","Loan deals 
(US$1,272,575m)"
NA,Loan deals,Low,24603.240590466736,"NA 
(US$60,450m)","Loan deals 
(US$1,272,575m)"
NA,Loan deals,Medium,32061.9412933034,"NA 
(US$60,450m)","Loan deals 
(US$1,272,575m)"
