manager_true_ultimate_parent_region_of_headquarters_unsd,asset_class,financial_flow_link_strength,total_usd_m,region_for_plot,asset_class_for_plot
Oceania,Bond deals,Medium,775.6064115926406,"Oceania 
(US$39,727m)","Bond deals 
(US$429,607m)"
Oceania,Equity deals,Medium,71.45158558431498,"Oceania 
(US$39,727m)","Equity deals 
(US$68,873m)"
Oceania,Loan deals,High,389.950217634452,"Oceania 
(US$39,727m)","Loan deals 
(US$1,102,035m)"
Oceania,Loan deals,Low,21337.924646386367,"Oceania 
(US$39,727m)","Loan deals 
(US$1,102,035m)"
Oceania,Loan deals,Medium,14611.215113018292,"Oceania 
(US$39,727m)","Loan deals 
(US$1,102,035m)"
NA,Bond deals,High,503.5006760511276,"NA 
(US$54,499m)","Bond deals 
(US$429,607m)"
NA,Bond deals,Low,282.0780201848935,"NA 
(US$54,499m)","Bond deals 
(US$429,607m)"
NA,Bond deals,Medium,1654.0714915322053,"NA 
(US$54,499m)","Bond deals 
(US$429,607m)"
NA,Equity deals,High,5.448809629887724,"NA 
(US$54,499m)","Equity deals 
(US$68,873m)"
NA,Equity deals,Low,3.6615767302688886,"NA 
(US$54,499m)","Equity deals 
(US$68,873m)"
NA,Equity deals,Medium,62.77920906388645,"NA 
(US$54,499m)","Equity deals 
(US$68,873m)"
NA,Loan deals,Low,23099.999813826722,"NA 
(US$54,499m)","Loan deals 
(US$1,102,035m)"
NA,Loan deals,Medium,28887.860542717357,"NA 
(US$54,499m)","Loan deals 
(US$1,102,035m)"
