,query,source,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID,query_clean,CommonName_clean,similarity,gaps,has_government_parent,manual_check_needed
199,amcel   amapa florestal e celulose,GFW,AMCEL - Amapa Florestal e Celulose SA,5001242357,Nippon Paper Industries Co Ltd,4295877412,Nippon Paper Industries Co Ltd,4295877412,amcel   amapa florestal e celulose,amcel   amapa florestal e celulose sa,95.775,False,False,FALSE
200,ckbv florestal,GFW,CKBV Florestal Ltda,5038911266,CKBV Florestal Ltda,5038911266,CKBV Florestal Ltda,5038911266,ckbv florestal,ckbv florestal ltda,84.848,False,False,FALSE
201,nidera,GFW,Cofco International Argentina SA,5000693580,COFCO International Ltd,5050996354,"China, People's Republic of (Government)",5000036491,nidera,cofco international argentina sa,21.053,False,True,TRUE
202,o telhar,GFW,O Telhar Agropecuaria Ltda,4298068808,O Telhar Agropecuaria Ltda,4298068808,O Telhar Agropecuaria Ltda,4298068808,o telhar,o telhar agropecuaria ltda,47.059,False,False,TRUE
203,afg brasil,GFW,Afg Brasil Sa Em Recuperacao Judicial,5057549590,Afg Brasil Sa Em Recuperacao Judicial,5057549590,Afg Brasil Sa Em Recuperacao Judicial,,afg brasil,afg brasil sa em recuperacao judicial,42.553,True,False,TRUE
204,bom jesus agropecuaria,GFW,Bom Jesus Agropecuaria Ltda,5034841723,Bom Jesus Agropecuaria Ltda,5034841723,Bom Jesus Agropecuaria Ltda,5034841723,bom jesus agropecuaria,bom jesus agropecuaria ltda,89.796,False,False,FALSE
205,cgg,GFW,China Gold International Resources Corp Ltd,4295862894,China Gold International Resources Corp Ltd,4295862894,China Gold International Resources Corp Ltd,4295862894,cgg,china gold international resources corp ltd,8.696,False,False,TRUE
206,engelhart,GFW,Engelhart CTP UK Ltd,5040049078,TrailStone Guernsey Ltd,5052143039,TrailStone (Cayman) LP,5052143275,engelhart,engelhart ctp uk ltd,62.069,False,False,TRUE
207,lavoura comercial agricola,GFW,,,,,,,lavoura comercial agricola, na ,20.0,True,False,TRUE
208,madeiranit madeiras,GFW,Leme Madeiras E Ferragens Ltda,5086417218,Leme Madeiras E Ferragens Ltda,5086417218,Leme Madeiras E Ferragens Ltda,5086417218,madeiranit madeiras,leme madeiras e ferragens ltda,48.98,False,False,TRUE
