commodity_case,boundary_period,defn_phase_out,total_usd_m_high_conf,total_usd_m_medium_conf,total_usd_m_low_conf,total_usd_m,total_usd_m_yr_high_conf,total_usd_m_yr_medium_conf,total_usd_m_yr_low_conf,total_usd_m_yr
cocoa_beans,all,FALSE,1044.2309786196743,485793.87922791095,124712.99559358427,611551.1058001149,141.7611632155336,79702.01142046024,20785.499265597402,100629.27184927318
cocoa_beans,all,TRUE,1044.2309786196743,469230.7148647594,124712.99559358427,594987.9414369634,141.7611632155336,78045.69498414468,20785.499265597402,98972.95541295761
coffee_green,0,FALSE,16315.411066444709,59239.31484717355,80437.70185138361,155992.42776500186,1678.624450663212,6430.876517006991,8360.061633772719,16469.56260144292
coffee_green,0,TRUE,16019.092442172272,58452.14001342534,79870.8400979554,154342.072553553,1645.7001590773866,6343.412646590523,8297.076994502906,16286.189800170816
coffee_green,1,FALSE,17041.402318728404,62683.345232196014,91275.62652811591,171000.37407904034,1757.7294096276596,6804.498517645085,9512.037185140849,18074.265112413595
coffee_green,1,TRUE,16491.548586344863,61486.89229535414,90453.08427243117,168431.52515413018,1696.6345504739336,6671.5593024404225,9420.643601175887,17788.837454090244
coffee_green,2,FALSE,17625.95828297853,69009.95602324624,108572.5647191404,195208.47902536514,1817.4899437851989,7494.42481985364,11360.837491827044,20672.752255465883
coffee_green,2,TRUE,17076.104550594995,67581.30445588904,106985.93869000007,191643.3476964841,1756.3950846314729,7335.685756813956,11184.54571081142,20276.62655225685
coffee_green,3,FALSE,17802.33833787031,72813.90708789238,119548.9268533523,210165.172279115,1836.2323528478478,7912.332700708931,12480.155336034059,22228.72038959084
coffee_green,3,TRUE,17252.48460548677,71385.25552053515,117962.30082421195,206600.04095023387,1775.1374936941218,7753.593637669238,12303.863555018475,21832.594686381835
coffee_green,all,FALSE,18026.35196141438,77560.03865101094,126162.05579909246,221748.44641151777,1859.659679724835,8439.68065216653,13186.593033294135,23485.933365185498
coffee_green,all,TRUE,17476.49822903084,76131.38708365388,124575.42976995211,218183.31508263684,1798.564820571109,8280.94158912685,13010.30125227855,23089.807661976512
oil_palm,0,FALSE,0,9802.702030075314,4548.874994128351,14351.577024203665,0,3267.567343358436,1516.2916647094503,4783.859008067886
oil_palm,0,TRUE,0,9802.702030075314,4548.874994128351,14351.577024203665,0,3267.567343358436,1516.2916647094503,4783.859008067886
oil_palm,1,FALSE,0,13233.205831350188,4548.874994128351,17782.080825478537,0,4411.068610450065,1516.2916647094503,5927.360275159515
oil_palm,1,TRUE,0,13233.205831350188,4548.874994128351,17782.080825478537,0,4411.068610450065,1516.2916647094503,5927.360275159515
oil_palm,2,FALSE,0,17879.917978533562,4548.874994128351,22428.79297266191,0,5959.972659511187,1516.2916647094503,7476.264324220638
oil_palm,2,TRUE,0,17879.917978533562,4548.874994128351,22428.79297266191,0,5959.972659511187,1516.2916647094503,7476.264324220638
oil_palm,3,FALSE,0,22572.89333284781,7629.6275695141685,30202.520902361975,0,7524.297777615938,2543.209189838059,10067.506967453997
oil_palm,3,TRUE,0,22572.89333284781,7629.6275695141685,30202.520902361975,0,7524.297777615938,2543.209189838059,10067.506967453997
oil_palm,all,FALSE,0,27642.08126514062,7629.6275695141685,35271.70883465479,0,9214.027088380195,2543.209189838059,11757.236278218254
oil_palm,all,TRUE,0,27642.08126514062,7629.6275695141685,35271.70883465479,0,9214.027088380195,2543.209189838059,11757.236278218254
soya_beans,0,FALSE,36443.10031929177,318336.3655575101,736908.0015348459,1091687.4674116478,2803.3154091762844,24651.804001471482,56685.230887296406,84140.35029794417
soya_beans,0,TRUE,35987.33730897736,308359.0413434507,735085.8178423918,1079432.1964948198,2768.256716075177,23884.317523466932,56545.06291095371,83197.63715049582
soya_beans,1,FALSE,37634.52334199203,353194.1866601065,826107.1504741396,1216935.8604762382,2894.9633339993848,28105.07376955475,63546.70388262643,94546.74098618056
soya_beans,1,TRUE,37178.76033167765,342355.47282807983,820378.1151873075,1199912.348347065,2859.904640898277,27271.326551706607,63106.00886056239,93237.24005316728
soya_beans,2,FALSE,38959.483568647476,388583.4812595693,901647.1479353457,1329190.1127635625,3019.0308691645123,30982.730818020358,69359.01194964012,103360.77363682499
soya_beans,2,TRUE,38503.72055833308,377298.3222472917,892976.7900710193,1308778.832876644,2983.9721760634056,30114.641663229733,68692.06134469183,101790.67518398497
soya_beans,3,FALSE,38959.483568647476,389004.32558703306,901672.8477675436,1329636.6569232242,3019.0308691645123,31193.15298175222,69371.86186573918,103584.0457166559
soya_beans,3,TRUE,38503.72055833308,377719.1665747554,893002.4899032175,1309225.377036306,2983.9721760634056,30325.0638269616,68704.91126079086,102013.94726381586
soya_beans,all,FALSE,39037.90199220273,391124.42802394985,901818.6635637375,1331980.99357989,3058.2400809421397,32253.204200210133,69444.76976383601,104756.21404498829
soya_beans,all,TRUE,38582.138981888325,379839.2690116703,893148.3056994112,1311569.7136929699,3023.181387841033,31385.115045419512,68777.81915888768,103186.11559214823
sugar_cane,0,FALSE,10601.319104306529,45377.62127167582,87197.8124379414,143176.75281392375,3533.773034768826,15125.87375722533,29065.937479313947,47725.58427130811
sugar_cane,0,TRUE,10601.319104306529,45377.62127167582,87197.8124379414,143176.75281392375,3533.773034768826,15125.87375722533,29065.937479313947,47725.58427130811
sugar_cane,1,FALSE,21155.321940176935,74895.05386077038,145517.01778238078,241567.39358332808,7051.773980059015,24965.01795359021,48505.67259412626,80522.46452777549
sugar_cane,1,TRUE,21155.321940176935,74895.05386077038,145517.01778238078,241567.39358332808,7051.773980059015,24965.01795359021,48505.67259412626,80522.46452777549
