producer_country,commodity,exporter_group,fin_flows,legal_entity
Brazil,Cattle meat,INDUSTRIA E COMERCIO DE CARNES E DERIVADOS BOI BRASIL,FALSE,TRUE
Bolivia,Soya beans,INDUSTRIAS DE ACEITE S.A.,TRUE,TRUE
Peru,Cocoa beans,INDUSTRIAS DEL ESPINO S.A.,TRUE,TRUE
Bolivia,Soya beans,INDUSTRIAS OLEAGINOSAS S.A.,FALSE,TRUE
Ecuador,Cocoa beans,INMOBILIARIA GUANGALA S A,FALSE,TRUE
Brazil,Cattle meat,INTERCONTINENTAL FOODS - COMERCIO DE ALIMENTOS LTDA - EPP,FALSE,FALSE
Peru,Cocoa beans,INVERSIONES CAMPO VERDE SAC,FALSE,FALSE
Colombia,Cattle meat,INVS ARIZA QUINTERO S EN C,FALSE,FALSE
Colombia,Cattle meat,INVS EXPODIAZ S A S,FALSE,FALSE
Colombia,Cattle meat,INVS HRS E HIJOS S A S,FALSE,FALSE
Colombia,Cattle meat,INVS KUKENAN S A S,FALSE,FALSE
Colombia,Cattle meat,INVS PASTO VERDE S A S,FALSE,FALSE
Brazil,Cattle meat,IRMAOS GONCALVES COMERCIO E INDUSTRIA,FALSE,TRUE
Brazil,Cattle meat,JA COMERCIO DE GENEROS ALIMENTICIOS E SERVICOS,FALSE,TRUE
Colombia,Cattle meat,JAIME DARIO DUBEIBE BLANCO INVS DUBEIBE BLANCO,FALSE,FALSE
Brazil,Cattle meat,JBS,TRUE,TRUE
Brazil,Cattle meat,JJZ ALIMENTOS,FALSE,TRUE
Colombia,Cattle meat,JSC TRADING CORP S A S,FALSE,FALSE
Brazil,Soya beans,JUPARANA COMERCIAL AGRICOLA,FALSE,TRUE
Peru,"Coffee, green",KAFFEE PERU G1 SOCIEDAD ANONIMA CERRADA,FALSE,FALSE
Brazil,Cattle meat,KAIAPOS FABRIL E EXPORTADORA,FALSE,FALSE
Brazil,Cattle meat,KIT TRADING,FALSE,FALSE
Ecuador,Cocoa beans,LA NUEVA CASA DEL CACAO S A CASACAO,FALSE,TRUE
Brazil,Cattle meat,LAMAJO COMERCIAL,FALSE,FALSE
Brazil,Soya beans,LAVOURA COMERCIAL AGRICOLA,FALSE,FALSE
Brazil,Cattle meat,LIARTE METALQUIMICA,FALSE,TRUE
Brazil,Cattle meat,LIDERA COMERCIO DE ALIMENTOS LTDA - ME,FALSE,FALSE
Brazil,Cattle meat,LKJ FRIGORIFICO LTDA,FALSE,TRUE
Brazil,Soya beans,LOUIS DREYFUS,TRUE,TRUE
Brazil,Sugar cane,LOUIS DREYFUS,TRUE,TRUE
Colombia,"Coffee, green",LOUIS DREYFUS,TRUE,TRUE
Peru,"Coffee, green",LOUIS DREYFUS,TRUE,TRUE
Peru,"Coffee, green",M & V RIVAS E I R L,FALSE,TRUE
Brazil,Cattle meat,M S COMERCIAL IMPORTADORA E EXPORTADORA DE ALIMENTOS,FALSE,TRUE
Colombia,Cocoa beans,M Y M TRADING S A S,FALSE,FALSE
Peru,Cocoa beans,MACHU PICCHU COFFEE TRADING S.A.C.,FALSE,FALSE
Brazil,Soya beans,MADEIRANIT MADEIRAS,FALSE,FALSE
Brazil,Cattle meat,MAIS TRADING LTDA.,FALSE,FALSE
Ecuador,Cocoa beans,MANACAO S A,FALSE,TRUE
Brazil,Cattle meat,MARFRIG,TRUE,TRUE
Colombia,Cocoa beans,MARIANA COCOA EXPORT LTD,FALSE,FALSE
Colombia,Cattle meat,MARKETING DE COLOMBIA S A MARKETCOL S A,FALSE,TRUE
Ecuador,Cocoa beans,MARTINETTI MAWYIN PEDRO ANDRES,FALSE,FALSE
Ecuador,Cocoa beans,MARTINETTI SALTOS PEDRO FERNANDO,FALSE,FALSE
Brazil,Soya beans,MARUBENI,TRUE,TRUE
Brazil,Cattle meat,MASSENA COMERCIO EXTERIOR LTDA,FALSE,FALSE
Brazil,Cattle meat,MASTERBOI,FALSE,TRUE
Brazil,Cattle meat,MATABOI ALIMENTOS,FALSE,TRUE
Ecuador,Cocoa beans,MAYCAO CIALZDORA AGRICOLA DE PROD,FALSE,FALSE
Brazil,Cattle meat,MERCURIO ALIMENTOS,FALSE,TRUE
Brazil,Cattle meat,MERIDIONAL MEATIMPORTACAO E EXP DE ALIMENTOS,FALSE,FALSE
Brazil,Cattle meat,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,FALSE,FALSE
Brazil,Cattle meat,MINERVA,TRUE,TRUE
Colombia,Cattle meat,MINERVA COLOMBIA S A S,TRUE,TRUE
Colombia,Cattle meat,MITONALI S A S,FALSE,FALSE
Brazil,Soya beans,MITSUBISHI,TRUE,TRUE
Brazil,Soya beans,MITSUI & CO.,TRUE,TRUE
Colombia,Cattle meat,MIX PROJECT INTL S A S,FALSE,FALSE
Brazil,Cattle meat,MONDELLI INDUSTRIA DE ALIMENTOS,FALSE,TRUE
Peru,"Coffee, green",MULTINEGOCIOS R&R E I R L,FALSE,FALSE
Brazil,Cattle meat,"MUNDO BRASIL COMERCIO, EXPORTACAO E IMPORTACAO LTDA.",FALSE,FALSE
Brazil,Cattle meat,MUNDOS BRASIL IMPORTACAO E EXPORTACAO LTDA EPP,FALSE,FALSE
Brazil,Sugar cane,NARDINI AGROINDUSTRIAL,TRUE,TRUE
Brazil,Cattle meat,NATURAFRIG ALIMENTOS,FALSE,TRUE
Peru,"Coffee, green",NEGOCIOS MARBER S R L,FALSE,FALSE
Peru,"Coffee, green",NEGOCIOS Y TRANSPORTES FERNANDEZ SOCIEDA,FALSE,FALSE
Peru,"Coffee, green",NEGRISA S.A.C.,FALSE,FALSE
Ecuador,Cocoa beans,NESTLE,TRUE,TRUE
Brazil,Cattle meat,NEW BEEF CO FRIGORIFICO SA,FALSE,TRUE
Brazil,Cattle meat,NEW BRAND TRADING ALIMENTOS,FALSE,FALSE
Brazil,Soya beans,NIDERA,TRUE,TRUE
Brazil,Cattle meat,NORTAO INDUSTRIAL DE ALIMENTOS,FALSE,FALSE
Brazil,Soya beans,NOVAAGRI INFRA-ESTRUTURA DE ARMAZENAGEM E ESCOAMENTO AGRICOL,TRUE,TRUE
Peru,Cocoa beans,NUTRY BODY SOCIEDAD ANONIMA CERRADA,FALSE,FALSE
Colombia,Cattle meat,O L CIALZDORA S A S,FALSE,FALSE
Brazil,Soya beans,O TELHAR,FALSE,TRUE
Colombia,Cattle meat,OCA TRADING S A S,FALSE,FALSE
Brazil,Sugar cane,ODEBRECHT AGROINDUSTRIAL PARTICIPACOES S.A.,TRUE,TRUE
Brazil,Cattle meat,ODEBRECHT SERVICOS DE EXPORTACAO S.A,FALSE,TRUE
Brazil,Soya beans,OLAM,TRUE,TRUE
Colombia,"Coffee, green",OLAM,TRUE,TRUE
Brazil,Cattle meat,OMEGA REPRESENTACOES LTDA,FALSE,FALSE
Colombia,Cattle meat,OREGON FOODS SAC,FALSE,TRUE
Peru,Cocoa beans,ORGANIC AROMA COCOA PERU S A C AROMA,FALSE,FALSE
Ecuador,Cocoa beans,OSELLA S A,FALSE,FALSE
Ecuador,Cocoa beans,OUTSPAN ECUADOR SA,TRUE,TRUE
Peru,"Coffee, green",OUTSPAN PERU S.A.C.,TRUE,TRUE
Colombia,Cattle meat,OVALLES SOGAMOSO JOSE HELI Y O CIALZ OVALLES,FALSE,FALSE
Brazil,Cattle meat,PAMPACARNE COMERCIO IMPORTACAO E EXPORTACAO,FALSE,TRUE
Brazil,Cattle meat,PAMPAFOODS COMERCIO IMPORTACAO E EXPORTACAO LTDA. - ME,FALSE,TRUE
Peru,"Coffee, green",PERALES HUANCARUNA S.A.C.,FALSE,TRUE
Peru,"Coffee, green",PERUNOR EXPORT SAC,FALSE,FALSE
Brazil,Cattle meat,PLENA ALIMENTOS,FALSE,TRUE
Colombia,Cattle meat,PORTO CERVO S A S,FALSE,FALSE
Brazil,Cattle meat,PRIMA FOODS SA,FALSE,TRUE
Colombia,Cattle meat,PROCESADORA DE CARNES DE SANTANDER S A,FALSE,TRUE
Bolivia,Soya beans,PROCESADORA DE GRANOS & ALIMENTOS GRAN ALIMENTO SRL,FALSE,FALSE
Bolivia,Soya beans,PROCESADORA DE OLEAGINOSAS PROLEGA S.A. PROLEGA S.A.,FALSE,TRUE
Peru,"Coffee, green",PROCESADORA DEL SUR S.A.,TRUE,TRUE
Bolivia,Soya beans,PROCESSED DOMESTICALLY,FALSE,FALSE
Brazil,Soya beans,PROCESSED DOMESTICALLY,FALSE,FALSE
Peru,"Coffee, green",PRODUCTOS Y SERVICIOS NOR ORIENTE S A C,FALSE,FALSE
Brazil,Soya beans,PRODUZIR AGROPECUARIA- EM RECUPERACAO JUDICIAL,FALSE,TRUE
Brazil,Cattle meat,PROGRESS BRAZIL COMERCIO DE ALIMENTOS,FALSE,FALSE
Peru,"Coffee, green",PRONATUR E.I.R.L.,FALSE,FALSE
Peru,Cocoa beans,QORI MAYO E I R L,FALSE,FALSE
Ecuador,Cocoa beans,QUEVEXPORT S A,FALSE,TRUE
Colombia,"Coffee, green",RACAFE & CIA S C A,FALSE,TRUE
Brazil,Cattle meat,RADAR INDUSTRIA E COMERCIO DE FRIGORIFICADOS,FALSE,TRUE
Peru,Cocoa beans,RAINFOREST TRADING S.A.C.,FALSE,TRUE
Peru,"Coffee, green",RAINFOREST TRADING S.A.C.,FALSE,TRUE
Brazil,Sugar cane,RAIZEN ARARAQUARA ACUCAR E ALCOOL LTDA,FALSE,TRUE
Brazil,Sugar cane,RAIZEN ENERGIA S.A,TRUE,TRUE
Brazil,Cattle meat,RAMAX IMPORTACAO E EXPORTACAO DE ALIMENTOS EIRELI,FALSE,FALSE
Colombia,Cattle meat,RED CARNICA S A S,TRUE,TRUE
Brazil,Cattle meat,"REDENCAO - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE C",FALSE,FALSE
Brazil,Sugar cane,RENUKA DO BRASIL,FALSE,TRUE
Colombia,Cattle meat,RH EXPS S A S,FALSE,FALSE
Brazil,Cattle meat,RIO GRANDE COMERCIO DE CARNES LTDA,FALSE,TRUE
Ecuador,Cocoa beans,RISTOKCACAO S A,FALSE,TRUE
Brazil,Cattle meat,RODOPA INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,FALSE,TRUE
Colombia,Cattle meat,RODRIGUEZ GOMEZ JEEFFERSON ATIR,FALSE,FALSE
Colombia,Cattle meat,RODRIGUEZ MONSALVE MANUEL ELEAZAR,FALSE,FALSE
Colombia,Cattle meat,ROJAS SERRANO HECTOR EXPS E IMPS,FALSE,FALSE
Colombia,Cattle meat,ROJAS VILLAN LEIDY JOHANNA,FALSE,FALSE
Brazil,Cattle meat,RXM IMPORTACAO E EXPORTACAO,FALSE,FALSE
Brazil,Sugar cane,S A USINA CORURIPE ACUCAR E ALCOOL,TRUE,TRUE
Colombia,Cattle meat,S C I MANUECABRALES Y CIA S A S,FALSE,FALSE
Brazil,Cattle meat,S. C. T. ARTIGOS PARA PRESENTES LTDA,FALSE,FALSE
Brazil,Cattle meat,SA FOOD ASSESSORIA & CONSULTORIA LTDA,FALSE,FALSE
Brazil,Cattle meat,SA FOOD IMPORTACAO E EXPORTACAO,FALSE,FALSE
Brazil,Cattle meat,SADIA S.A.,FALSE,TRUE
Brazil,Sugar cane,SAO MARTINHO S/A,TRUE,TRUE
Colombia,Cattle meat,SEAFOOD MARKET INTL TRADING S A S,FALSE,FALSE
Brazil,Soya beans,SEARA INDUSTRIA E COMERCIO DE PRODUTOS AGRO PECUARIOS LTDA - EM RECUPERACAO JUDICIAL,FALSE,TRUE
Brazil,Soya beans,SELECTA,TRUE,TRUE
Peru,Cocoa beans,SELVACACAO SOCIEDAD ANONIMA CERRADA,FALSE,FALSE
Peru,"Coffee, green",SELVACACAO SOCIEDAD ANONIMA CERRADA,FALSE,FALSE
Brazil,Cattle meat,SERTRADING,FALSE,TRUE
Brazil,Soya beans,"SHANGHAI PENGXIN GROUP CO., LTD.",TRUE,TRUE
Brazil,Soya beans,SIGMA AGROPECUARIA LTDA,FALSE,TRUE
Brazil,Soya beans,SINAGRO PRODUTOS AGROPECUARIOS,FALSE,TRUE
Brazil,Soya beans,SIPAL,FALSE,TRUE
Colombia,Cattle meat,SISA LTDA,FALSE,TRUE
Brazil,Sugar cane,SJC BIOENERGIA,TRUE,TRUE
Colombia,"Coffee, green",SKN CARIBECAFE LTD,FALSE,FALSE
Ecuador,Cocoa beans,SOC CIVIL GERVERD,FALSE,FALSE
Colombia,Cattle meat,SOC DE COMERC INTL COLVEMP LTDA,FALSE,FALSE
Colombia,Cattle meat,SOC DE COMERCIALIZACION INTL GRUPO TIUNA LTDA,FALSE,FALSE
Colombia,Cattle meat,SOC DE IMP Y EXP DE COLOMBIA NOVISAN S A S,FALSE,FALSE
Bolivia,Soya beans,SOCIEDAD AGROINDUSTRIAL NUTRIOIL SA,FALSE,TRUE
Colombia,"Coffee, green",SOCIEDAD EXPORTADORA CAFE DE COOPERATIVAS DE CAFICULTORES SA,FALSE,TRUE
Peru,Cocoa beans,SOCIEDAD INDUSTRIAL DE YURIMAGUAS S A,FALSE,FALSE
Brazil,Soya beans,SODRUGESTVO,FALSE,TRUE
Brazil,Soya beans,SODRUGESTVO AGRONEGOCIOS SA,FALSE,TRUE
Brazil,Soya beans,SODRUGESTVO DO BRASIL REPRESENTACAO IMPORTACAO E EXPOR,FALSE,FALSE
Bolivia,Soya beans,SOYAGRAIN SRL,FALSE,FALSE
Colombia,"Coffee, green",SUCAFINA COLOMBIA S A S,FALSE,TRUE
Colombia,"Coffee, green",SUCDEN COLOMBIA SAS,TRUE,TRUE
Brazil,Sugar cane,SUCDEN DO BRASIL LTDA.,TRUE,TRUE
Colombia,Cocoa beans,SUCESORES DE JOSE JESUS RESTREPO Y CIA S A,FALSE,TRUE
Brazil,Cattle meat,SUDAMBEEF INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO,FALSE,TRUE
Peru,Cocoa beans,SUMAQAO SOCIEDAD ANONIMA CERRADA,FALSE,TRUE
Brazil,Cattle meat,SUPERFRIGO INDUSTRIA E COMERCIO,FALSE,TRUE
Bolivia,Soya beans,SUPERGRAIN SRL,FALSE,FALSE
Colombia,Cattle meat,SUPERTIENDAS Y DROGUERIAS OLIMPICA S A,TRUE,TRUE
Colombia,Cocoa beans,SURCACAO S A S,FALSE,FALSE
Brazil,Cattle meat,SZR EMPRESARIAL IND & EXP DE SUB PRODUTOS BOVINOS LTDA,FALSE,TRUE
Brazil,Soya beans,T T COMERCIO,FALSE,FALSE
Brazil,Cattle meat,TANGARA ALIMENTOS,FALSE,FALSE
Brazil,Cattle meat,TANGARA IMPORTADORA E EXPORTADORA SA,FALSE,TRUE
Brazil,Cattle meat,TDX TRADING COMPANY COMERCIO IMPORTACAO E EXPORTACAO DE PROD,FALSE,TRUE
Brazil,Sugar cane,TEREOS ACUCAR E ENERGIA BRASIL S.A.,TRUE,TRUE
Brazil,Soya beans,TERRA SANTA AGRO,TRUE,TRUE
Brazil,Sugar cane,TONON BIOENERGIA,TRUE,TRUE
Brazil,Cattle meat,TOTAL GROUP,FALSE,FALSE
Ecuador,Cocoa beans,TRANSMAR ECUADOR S A,TRUE,TRUE
Peru,"Coffee, green",TRILLADORA JN EXPORT & IMPORT S A C,FALSE,FALSE
Peru,Cocoa beans,TROPICAL FOREST PERU S A C,FALSE,FALSE
Brazil,Soya beans,TS BRASIL S.A.,TRUE,TRUE
Brazil,Sugar cane,U.S.A. - USINA SANTO ANGELO,FALSE,TRUE
Brazil,Cattle meat,UNITRADING LOGISTICA IMPORTACAO E EXPORTACAO ME,FALSE,TRUE
Bolivia,Soya beans,UNKNOWN,FALSE,FALSE
Brazil,Cattle meat,UNKNOWN,FALSE,FALSE
Brazil,"Coffee, green",UNKNOWN,FALSE,FALSE
Brazil,Maize (corn),UNKNOWN,FALSE,FALSE
Brazil,Soya beans,UNKNOWN,FALSE,FALSE
Colombia,"Coffee, green",UNKNOWN,FALSE,FALSE
Brazil,Sugar cane,USINA ACUCAREIRA GUAIRA LIMITADA,FALSE,TRUE
Brazil,Sugar cane,USINA ALTA MOGIANA S/A-ACUCAR E ALCOOL,FALSE,TRUE
Brazil,Sugar cane,USINA ALTO ALEGRE S/A - ACUCAR E ALCOOL,FALSE,TRUE
Brazil,Sugar cane,USINA BATATAIS S/A ACUCAR E ALCOOL,FALSE,TRUE
Brazil,Sugar cane,USINA CAETE,TRUE,TRUE
Brazil,Sugar cane,USINA COLOMBO S/A. - ACUCAR E ALCOOL,FALSE,FALSE
Brazil,Sugar cane,USINA CONQUISTA DO PONTAL,TRUE,TRUE
Brazil,Sugar cane,USINA DE ACUCAR E ALCOOL GOIOERE,FALSE,TRUE
Brazil,Sugar cane,USINA DE ACUCAR SANTA TEREZINHA LTDA,TRUE,TRUE
Brazil,Sugar cane,USINA DELTA,FALSE,TRUE
Brazil,Sugar cane,USINA ELDORADO,TRUE,TRUE
Brazil,Sugar cane,USINA GUARIROBA,TRUE,TRUE
Brazil,Sugar cane,USINA ITAPAGIPE ACUCAR E ALCOOL,TRUE,TRUE
Brazil,Sugar cane,USINA OUROESTE - ACUCAR E ALCOOL,TRUE,TRUE
Brazil,Sugar cane,USINA SANTA FE S/A.,TRUE,TRUE
Brazil,Sugar cane,USINA SANTA ISABEL,FALSE,TRUE
Brazil,Sugar cane,USINA SAO DOMINGOS-ACUCAR E ETANOL S/A,FALSE,TRUE
Brazil,Sugar cane,VA&E TRADING DO BRASIL LTDA,FALSE,TRUE
Brazil,Sugar cane,VALE DO TIJUCO ACUCAR E ALCOOL,TRUE,TRUE
Brazil,Cattle meat,VALE GRANDE INDUSTRIA E COMERCIO DE ALIMENTOS,FALSE,TRUE
Peru,"Coffee, green",VALLEY COFFEE TRADING S A C,FALSE,FALSE
Colombia,Cattle meat,VARGAS QUINTANA OSCAR,FALSE,FALSE
Colombia,Cattle meat,VECTRA INTL COLOMBIA S A S,FALSE,FALSE
Peru,Cocoa beans,VILLA ANDINA SOCIEDAD ANONIMA CERRADA,FALSE,TRUE
Brazil,Soya beans,VITERRA BV,TRUE,TRUE
Colombia,Cattle meat,VRAM HOLDING S A S,FALSE,FALSE
Brazil,Sugar cane,WD AGROINDUSTRIAL LTDA,FALSE,TRUE
Brazil,Cattle meat,WELLARD DO BRASIL AGRONEGOCIOS,TRUE,TRUE
Brazil,Cattle meat,WEST MEAT IMPORTACAO E EXPORTACAO LTDA.,FALSE,FALSE
Brazil,Cattle meat,XINGUARA INDUSTRIA E COMERCIO,FALSE,TRUE
Brazil,Cattle meat,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,FALSE,TRUE
Brazil,Cattle meat,ZIBAX GLOBAL IMPORTACAO & EXPORTACAO EIRELI,FALSE,FALSE
