producer_country,commodity,exporter_group,fin_flows,legal_entity
Brazil,Oil palm fruit,AGROPALMA S/A,FALSE,TRUE
Brazil,Cattle meat,AGROPECUARIA SANTA RITA DO MARAJO SOCIEDADE ANONIMA,FALSE,TRUE
Bolivia,Soya beans,AGROTRAM SRL,FALSE,FALSE
Peru,Cocoa beans,ALGARROBOS ORGANICOS DEL PERU SOCIEDAD A,FALSE,FALSE
Brazil,Cattle meat,ALIMENTOS ESTRELA,FALSE,TRUE
Colombia,Cattle meat,ALIMS CARNICOS S A S,FALSE,FALSE
Peru,Cocoa beans,ALTO EL SOL PERU SOCIEDAD ANONIMA CERRAD,FALSE,FALSE
Brazil,Cattle meat,ALVO CONSULTORIA E AGRONEGOCIOS,FALSE,FALSE
Brazil,Soya beans,AMAGGI,TRUE,TRUE
Brazil,Soya beans,AMAGGI EXPORTACAO ET IMPORTACAO LTDA,TRUE,TRUE
Peru,Cocoa beans,AMAZONAS TRADING PERU S A C,FALSE,TRUE
Brazil,Soya beans,AMCEL - AMAPA FLORESTAL E CELULOSE,TRUE,TRUE
Brazil,Cattle meat,AMERICA SUD INDUSTRIA E COMERCIO DE CARNES EIRELI,FALSE,FALSE
Colombia,Cattle meat,AMERICAN TRADE S A S,FALSE,TRUE
Colombia,Cattle meat,ANFER ANDINA S A S,FALSE,FALSE
Colombia,Cattle meat,ANGLETON GROUP S A S,FALSE,TRUE
Brazil,Sugar cane,ANTONIO RUETTE AGROINDUSTRIAL,FALSE,FALSE
Peru,Cocoa beans,AQUARIUS TRADING PERU S A C,FALSE,FALSE
Brazil,Cattle meat,ARANTES ALIMENTOSEM RECUPERACAO JUDICIAL,TRUE,TRUE
Colombia,Cattle meat,ARCOS DORADOS COL S A S,TRUE,TRUE
Colombia,Cattle meat,ARIZA GARCIA SAMUEL DARIO,FALSE,FALSE
Peru,Cocoa beans,ARMAJARO PERU S A C,TRUE,TRUE
Ecuador,Cocoa beans,AROMAS Y SABORES DEL ECUADOR AROMACACAO,FALSE,TRUE
Ecuador,Cocoa beans,AROMATIC COCOA EXPORT S A AROMAEXCO,FALSE,TRUE
Peru,"Coffee, green",ASOC CENTRAL PROD DE CAFE DE PICHANAQUI,FALSE,FALSE
Colombia,Cocoa beans,ASOC DE ORGANIZACIONES PRODUCTORAS DE CACAO DEL NUDO D,FALSE,FALSE
Peru,"Coffee, green",ASOC PROV CAFETALEROS SOLIDAR SAN IGNACI,FALSE,FALSE
Peru,Cocoa beans,ASOCIACIN DE PRODUCTORES CACAOTEROS Y C,FALSE,FALSE
Peru,Cocoa beans,ASOCIACION CACAOTERA DE LAS REGIONES UCA,FALSE,FALSE
Peru,Cocoa beans,ASOCIACION CACAOTERA DE TOCACHE ASOTOC,FALSE,FALSE
Peru,Cocoa beans,ASOCIACION DE CACAOTEROS TECNIFICADOS DE,FALSE,FALSE
Peru,"Coffee, green",ASOCIACION DE PRODUCTORES AGRO ECOLOGICO,FALSE,FALSE
Peru,Cocoa beans,ASOCIACION DE PRODUCTORES AGROINDUSTRIAL,FALSE,TRUE
Peru,"Coffee, green",ASOCIACION DE PRODUCTORES AGROPECUARIOS,FALSE,TRUE
Peru,Cocoa beans,ASOCIACION DE PRODUCTORES CACAO ALTO HU,FALSE,FALSE
Peru,Cocoa beans,ASOCIACION DE PRODUCTORES CACAO VRAE,FALSE,FALSE
Peru,"Coffee, green",ASOCIACION DE PRODUCTORES DE CAFETALEROS,FALSE,FALSE
Bolivia,Soya beans,ASOCIACION DE PRODUCTORES DE OLEAGINOSAS & TRIGO,FALSE,FALSE
Peru,Cocoa beans,ASOCIACION DE PRODUCTORES YUNKA DEL HUAL,FALSE,FALSE
Brazil,Cattle meat,ATIVO ALIMENTOS EXPORTADORA & IMPORTADORA LTDA,FALSE,TRUE
Ecuador,Cocoa beans,AYD SANCHEZ ADSANCOCOA S A,FALSE,TRUE
