,producer_country,commodity,year,adjusted_deforestation_exposure,exporter_group,years_appeared,years_available,deduce_temporal_pattern,legal_entity_mapped,legal_entity_hierarchy_year,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID
15,Brazil,Sugar cane,2016,209.051564,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973
16,Brazil,Sugar cane,2017,225.76234,ACUCAR E ALCOOL OSWALDO RIBEIRO DE,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973,Acucar E Alcool Oswaldo Ribeiro De Mendonca Ltda,5087219973
17,Brazil,Soya beans,2019,74.68006746,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2025,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073
18,Brazil,Soya beans,2020,15.00022729,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2025,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073
19,Brazil,Soya beans,2022,1.712984958,ADECOAGRO,"2019, 2020, 2022",2010-2022,Intermittent,TRUE,2025,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073
20,Brazil,Sugar cane,2015,85.45026202,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073
21,Brazil,Sugar cane,2016,200.8632747,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073
22,Brazil,Sugar cane,2017,269.6676073,ADECOAGRO,"2015, 2016, 2017",2015-2017,Full coverage,TRUE,2025,Adecoagro SA,5001431073,Adecoagro SA,5001431073,Adecoagro SA,5001431073
23,Brazil,Soya beans,2010,2554.130755,ADM,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2010-2022,Full coverage,TRUE,2025,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463
24,Brazil,Soya beans,2011,2055.056523,ADM,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2010-2022,Full coverage,TRUE,2025,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463
25,Brazil,Soya beans,2012,6767.146941,ADM,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2010-2022,Full coverage,TRUE,2025,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463
26,Brazil,Soya beans,2013,645.6248848,ADM,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2010-2022,Full coverage,TRUE,2025,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463
27,Brazil,Soya beans,2014,994.8708458,ADM,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",2010-2022,Full coverage,TRUE,2025,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463,Archer-Daniels-Midland Co,4295903463
